"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2342","test_upload","tests","Thu Nov 27 04:26:01 UTC 2025","passed","Thu Nov 27 04:26:04 UTC 2025","","test_upload_and_download","",""
"","2079","test_download","tests","Thu Nov 27 04:25:58 UTC 2025","passed","Thu Nov 27 04:26:01 UTC 2025","","test_upload_and_download","",""
"","6604","test_appearing_button","tests","Thu Nov 27 04:25:59 UTC 2025","passed","Thu Nov 27 04:26:05 UTC 2025","","test_dynamic_properties","",""
"","2578","test_prompt","tests","Thu Nov 27 04:25:51 UTC 2025","passed","Thu Nov 27 04:25:54 UTC 2025","","test_alerts","",""
"","5046","test_create_update_delete_record","tests","Thu Nov 27 04:26:06 UTC 2025","passed","Thu Nov 27 04:26:11 UTC 2025","","test_web_tables","",""
"","2840","test_confirm","tests","Thu Nov 27 04:25:55 UTC 2025","passed","Thu Nov 27 04:25:58 UTC 2025","","test_alerts","",""
"","3173","test_drag_and_drop","tests","Thu Nov 27 04:25:55 UTC 2025","passed","Thu Nov 27 04:25:58 UTC 2025","","test_droppable","",""
"","2875","test_alert","tests","Thu Nov 27 04:25:51 UTC 2025","passed","Thu Nov 27 04:25:54 UTC 2025","","test_alerts","",""
